1,705,237.98,441.1,66.2,102.86,0.9762,-1,-1,-1
1,706,745.61,488.39,49.48,111.04,0.9759,-1,-1,-1
1,707,600.45,730.26,61.22,137.3,0.9746,-1,-1,-1
1,708,900.46,526.29,46.45,115.31,0.9744,-1,-1,-1
1,709,283.62,625.24,42.38,126.92,0.9672,-1,-1,-1
1,710,1487.67,587.56,48.36,131.58,0.9654,-1,-1,-1
1,711,786.78,876.09,60.12,172.22,0.9625,-1,-1,-1
1,712,360.53,147.39,31.44,74.81,0.9617,-1,-1,-1
1,713,1260.16,227.96,33.25,84.53,0.9533,-1,-1,-1
1,714,47.27,229.28,31.07,80.6,0.9471,-1,-1,-1
1,715,749.14,338.5,26.21,89.54,0.9399,-1,-1,-1
1,716,0.28,786.52,17.48,122.53,0.8404,-1,-1,-1
2,706,748.81,484.55,50.26,114.6,0.9783,-1,-1,-1
2,707,601.8,731.26,51.17,138.77,0.9748,-1,-1,-1
2,710,1489.33,586.77,47.27,132.53,0.9714,-1,-1,-1
2,708,909.66,526.06,40.21,114.59,0.9712,-1,-1,-1
2,705,248.85,442.51,58.75,101.52,0.9679,-1,-1,-1
2,709,287.87,623.07,37.07,124.0,0.967,-1,-1,-1
2,711,787.8,877.01,59.13,172.02,0.964,-1,-1,-1
2,712,361.59,146.62,30.41,74.91,0.9623,-1,-1,-1
2,715,750.62,337.07,25.23,89.28,0.9548,-1,-1,-1
2,714,47.28,227.65,30.8,81.21,0.9536,-1,-1,-1
2,713,1260.39,227.35,34.68,84.67,0.9529,-1,-1,-1
2,716,0.26,785.12,17.81,123.97,0.8515,-1,-1,-1
3,706,751.64,481.77,49.62,115.91,0.9786,-1,-1,-1
3,710,1490.88,585.94,46.01,133.51,0.9737,-1,-1,-1
3,705,259.94,443.55,49.86,99.76,0.9702,-1,-1,-1
3,711,788.17,877.27,58.9,171.88,0.9655,-1,-1,-1
3,707,602.0,730.78,44.62,142.26,0.9643,-1,-1,-1
3,708,915.92,524.84,36.76,116.31,0.9626,-1,-1,-1
3,715,750.52,335.51,27.03,89.42,0.9618,-1,-1,-1
3,712,362.51,146.22,29.09,75.37,0.9604,-1,-1,-1
3,709,292.97,622.74,34.93,120.39,0.9565,-1,-1,-1
3,713,1260.09,226.83,35.89,84.99,0.9539,-1,-1,-1
3,714,47.41,227.32,29.74,81.27,0.9538,-1,-1,-1
3,716,0.0,782.47,18.69,125.53,0.8742,-1,-1,-1
4,706,751.57,481.79,49.7,115.96,0.9785,-1,-1,-1
4,710,1490.97,585.94,45.95,133.53,0.9738,-1,-1,-1
4,705,259.88,443.48,49.85,99.78,0.97,-1,-1,-1
4,711,788.17,877.29,58.95,171.84,0.9655,-1,-1,-1
4,707,601.94,730.79,44.66,142.23,0.9642,-1,-1,-1
4,708,915.93,524.83,36.78,116.29,0.9626,-1,-1,-1
4,715,750.53,335.49,26.94,89.52,0.962,-1,-1,-1
4,712,362.52,146.23,29.07,75.41,0.9604,-1,-1,-1
4,709,292.95,622.76,34.94,120.35,0.9565,-1,-1,-1
4,714,47.38,227.27,29.77,81.32,0.9542,-1,-1,-1
4,713,1260.09,226.84,35.89,84.96,0.9541,-1,-1,-1
4,716,0.0,782.54,18.61,125.48,0.8728,-1,-1,-1
5,706,756.99,479.1,48.77,116.16,0.9778,-1,-1,-1
5,710,1493.76,585.55,43.64,135.38,0.9755,-1,-1,-1
5,711,788.77,877.64,58.97,171.7,0.9662,-1,-1,-1
5,708,919.22,522.29,36.55,119.16,0.9647,-1,-1,-1
5,707,601.45,732.94,41.13,141.48,0.9633,-1,-1,-1
5,705,275.44,444.62,40.09,99.0,0.9625,-1,-1,-1
5,709,295.9,621.22,36.05,118.8,0.9619,-1,-1,-1
5,712,363.41,146.14,27.7,74.75,0.9582,-1,-1,-1
5,715,751.28,334.96,27.68,88.41,0.9581,-1,-1,-1
5,713,1259.76,226.83,35.88,83.74,0.9566,-1,-1,-1
5,714,47.64,226.84,27.83,81.66,0.9421,-1,-1,-1
5,716,0.0,778.2,18.29,131.0,0.8411,-1,-1,-1
6,706,760.85,478.8,47.71,113.5,0.9797,-1,-1,-1
6,710,1496.52,586.41,41.72,134.88,0.9725,-1,-1,-1
6,707,601.14,733.25,38.82,143.09,0.9701,-1,-1,-1
6,708,921.46,522.36,38.8,119.02,0.97,-1,-1,-1
6,709,298.53,621.77,37.99,117.53,0.9674,-1,-1,-1
6,711,790.1,877.79,57.5,171.28,0.9659,-1,-1,-1
6,705,289.54,442.89,36.69,100.62,0.9643,-1,-1,-1
6,713,1259.57,226.8,36.73,83.36,0.9625,-1,-1,-1
6,715,751.34,332.77,27.8,88.31,0.9566,-1,-1,-1
6,712,364.8,145.74,27.11,74.68,0.9558,-1,-1,-1
6,714,47.58,226.44,28.58,81.69,0.929,-1,-1,-1
