track_id,label,frame,outside,occluded,xtl,ytl,xbr,ybr,jersey_number
0,player,15,0,0,994.23,763.01,1057.61,912.59,17
0,player,16,0,0,996.16,762.27,1059.54,911.85,17
0,player,17,0,0,998.1,761.52,1061.48,911.1,17
0,player,18,0,0,1000.04,760.78,1063.42,910.35,17
0,player,19,0,0,1001.98,760.03,1065.36,909.61,17
0,player,20,0,0,1003.92,759.29,1067.3,908.86,17
0,player,21,0,0,1005.86,758.54,1069.24,908.12,17
0,player,22,0,0,1007.8,757.79,1071.18,907.37,17
0,player,23,0,0,1009.74,757.05,1073.12,906.63,17
0,player,24,0,0,1011.67,756.3,1075.05,905.88,17
0,player,25,0,0,1013.61,755.56,1076.99,905.13,17
0,player,26,0,0,1015.55,754.81,1078.93,904.39,17
0,player,27,0,0,1017.49,754.07,1080.87,903.64,17
0,player,28,0,0,1019.43,753.32,1082.81,902.9,17
0,player,29,0,0,1021.37,752.57,1084.75,902.15,17
0,player,30,0,0,1023.31,751.83,1086.69,901.41,17
0,player,31,0,0,1025.24,751.08,1088.62,900.66,17
0,player,32,0,0,1027.18,750.34,1090.56,899.92,17
0,player,33,0,0,1029.16,748.93,1092.54,898.51,17
0,player,34,0,0,1031.13,747.52,1094.51,897.1,17
0,player,35,0,0,1033.1,746.11,1096.48,895.69,17
0,player,36,0,0,1035.07,744.7,1098.45,894.28,17
0,player,37,0,0,1037.04,743.29,1100.42,892.87,17
0,player,38,0,0,1039.01,741.89,1102.39,891.46,17
0,player,39,0,0,1040.99,740.48,1104.37,890.06,17
0,player,40,0,0,1042.96,739.07,1106.34,888.65,17
0,player,41,0,0,1044.93,737.66,1108.31,887.24,17
0,player,42,0,0,1049.74,738.38,1113.12,887.95,17
0,player,43,0,0,1054.55,739.09,1117.93,888.67,17
0,player,44,0,0,1059.36,739.81,1122.74,889.38,17
0,player,45,0,0,1064.17,740.52,1127.55,890.1,17
0,player,46,0,0,1068.98,741.24,1132.36,890.81,17
0,player,47,0,0,1073.79,741.95,1137.17,891.53,17
0,player,48,0,0,1078.6,742.67,1141.98,892.24,17
0,player,49,0,0,1083.41,743.38,1146.79,892.96,17
0,player,50,0,0,1088.22,744.1,1151.6,893.67,17
0,player,51,0,0,1093.03,744.81,1156.41,894.39,17
0,player,52,0,0,1097.84,745.53,1161.22,895.1,17
0,player,53,0,0,1102.65,746.24,1166.03,895.82,17
0,player,54,0,0,1107.46,746.96,1170.84,896.53,17
0,player,55,0,0,1112.28,747.67,1175.66,897.25,17
0,player,56,0,0,1117.09,748.39,1180.47,897.96,17
0,player,57,0,0,1121.9,749.1,1185.28,898.68,17
0,player,58,0,0,1126.71,749.82,1190.09,899.39,17
0,player,59,0,0,1131.52,750.53,1194.9,900.11,17
0,player,60,0,0,1136.33,751.25,1199.71,900.82,17
0,player,61,0,0,1141.14,751.96,1204.52,901.54,17
0,player,62,0,0,1145.95,752.68,1209.33,902.25,17
0,player,63,0,0,1150.76,753.39,1214.14,902.97,17
0,player,64,0,0,1155.57,754.11,1218.95,903.68,17
0,player,65,0,0,1160.38,754.82,1223.76,904.4,17
0,player,66,0,0,1165.19,755.54,1228.57,905.11,17
0,player,67,0,0,1170.0,756.25,1233.38,905.83,17
0,player,68,0,0,1174.81,756.97,1238.19,906.54,17
0,player,69,0,0,1179.62,757.68,1243.0,907.26,17
0,player,70,0,0,1184.43,758.4,1247.81,907.97,17
0,player,71,0,0,1189.24,759.11,1252.62,908.69,17
0,player,72,0,0,1194.05,759.83,1257.43,909.4,17
0,player,73,0,0,1198.86,760.54,1262.24,910.12,17
0,player,74,0,0,1203.67,761.26,1267.05,910.83,17
0,player,75,0,0,1208.48,761.97,1271.86,911.55,17
0,player,76,0,0,1213.29,762.69,1276.67,912.26,17
0,player,77,0,0,1218.1,763.4,1281.48,912.98,17
0,player,78,0,0,1222.91,764.12,1286.29,913.69,17
0,player,79,0,0,1227.72,764.83,1291.1,914.41,17
0,player,80,0,0,1232.54,765.55,1295.92,915.12,17
0,player,81,0,0,1241.46,767.33,1304.84,916.91,17
0,player,82,0,0,1250.39,769.12,1313.77,918.7,17
0,player,83,0,0,1259.31,770.9,1322.69,920.48,17
0,player,84,0,0,1271.76,771.57,1335.14,921.15,17
0,player,85,0,0,1284.22,772.24,1347.6,921.82,17
0,player,86,0,0,1296.67,772.91,1360.05,922.49,17
0,player,87,0,0,1309.12,773.58,1372.5,923.16,17
0,player,88,0,0,1321.57,774.25,1384.95,923.83,17
0,player,89,0,0,1334.02,774.92,1397.4,924.5,17
0,player,90,0,0,1346.47,775.59,1409.85,925.17,17
0,player,91,0,0,1358.92,776.26,1422.3,925.84,17
0,player,92,0,0,1371.38,776.93,1434.76,926.51,17
0,player,93,0,0,1383.83,777.6,1447.21,927.17,17
0,player,94,0,0,1396.28,778.27,1459.66,927.84,17
0,player,95,0,0,1408.73,778.94,1472.11,928.51,17
0,player,96,0,0,1421.18,779.6,1484.56,929.18,17
0,player,97,0,0,1433.63,780.27,1497.01,929.85,17
0,player,98,0,0,1446.09,780.94,1509.47,930.52,17
0,player,99,0,0,1458.54,781.61,1521.92,931.19,17
0,player,100,0,0,1470.99,782.28,1534.37,931.86,17
0,player,101,0,0,1483.44,782.95,1546.82,932.53,17
0,player,102,0,0,1495.89,783.62,1559.27,933.2,17
0,player,103,0,0,1508.34,784.29,1571.72,933.87,17
0,player,104,0,0,1518.16,783.4,1581.54,932.98,17
0,player,105,0,0,1527.98,782.51,1591.36,932.08,17
0,player,106,0,0,1537.8,781.61,1601.18,931.19,17
0,player,107,0,0,1543.82,779.6,1607.2,929.18,17
0,player,108,0,0,1549.85,777.6,1613.23,927.17,17
0,player,109,0,0,1555.87,775.59,1619.25,925.17,17
0,player,110,0,0,1561.9,773.58,1625.28,923.16,17
0,player,111,0,0,1567.92,771.57,1631.3,921.15,17
0,player,112,0,0,1573.95,769.56,1637.33,919.14,17
0,player,113,0,0,1579.97,767.56,1643.35,917.13,17
